"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","CDSD","CDSD_ATTRIBUTES","CLDD","CLDD_ATTRIBUTES","DP01","DP01_ATTRIBUTES","DP10","DP10_ATTRIBUTES","DP1X","DP1X_ATTRIBUTES","DSND","DSND_ATTRIBUTES","DSNW","DSNW_ATTRIBUTES","DT00","DT00_ATTRIBUTES","DT32","DT32_ATTRIBUTES","DX32","DX32_ATTRIBUTES","DX70","DX70_ATTRIBUTES","DX90","DX90_ATTRIBUTES","DYFG","DYFG_ATTRIBUTES","DYNT","DYNT_ATTRIBUTES","DYSD","DYSD_ATTRIBUTES","DYSN","DYSN_ATTRIBUTES","DYTS","DYTS_ATTRIBUTES","DYXP","DYXP_ATTRIBUTES","DYXT","DYXT_ATTRIBUTES","EMNT","EMNT_ATTRIBUTES","EMSD","EMSD_ATTRIBUTES","EMSN","EMSN_ATTRIBUTES","EMXP","EMXP_ATTRIBUTES","EMXT","EMXT_ATTRIBUTES","HDSD","HDSD_ATTRIBUTES","HN01","HN01_ATTRIBUTES","HN02","HN02_ATTRIBUTES","HN03","HN03_ATTRIBUTES","HN04","HN04_ATTRIBUTES","HN05","HN05_ATTRIBUTES","HN06","HN06_ATTRIBUTES","HTDD","HTDD_ATTRIBUTES","HX01","HX01_ATTRIBUTES","HX02","HX02_ATTRIBUTES","HX03","HX03_ATTRIBUTES","HX04","HX04_ATTRIBUTES","HX05","HX05_ATTRIBUTES","HX06","HX06_ATTRIBUTES","LN01","LN01_ATTRIBUTES","LN02","LN02_ATTRIBUTES","LN03","LN03_ATTRIBUTES","LN04","LN04_ATTRIBUTES","LN05","LN05_ATTRIBUTES","LN06","LN06_ATTRIBUTES","LX01","LX01_ATTRIBUTES","LX02","LX02_ATTRIBUTES","LX03","LX03_ATTRIBUTES","LX04","LX04_ATTRIBUTES","LX05","LX05_ATTRIBUTES","LX06","LX06_ATTRIBUTES","MN01","MN01_ATTRIBUTES","MN02","MN02_ATTRIBUTES","MN03","MN03_ATTRIBUTES","MN04","MN04_ATTRIBUTES","MN05","MN05_ATTRIBUTES","MN06","MN06_ATTRIBUTES","MX01","MX01_ATTRIBUTES","MX02","MX02_ATTRIBUTES","MX03","MX03_ATTRIBUTES","MX04","MX04_ATTRIBUTES","MX05","MX05_ATTRIBUTES","MX06","MX06_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES","SNOW","SNOW_ATTRIBUTES","TAVG","TAVG_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES"
"USC00177238","1994-11","45.08533","-67.1205","35.1","ROBBINSTON, ME US","","","0.0",",0","10",",0","6",",0","2",",0","1",",0","1",",0","0",",0","18",",0","2",",0","0",",0","0",",0","6","","19941127",",,0","19941128",",,0","19941128",",,0","1","","19941102",",,0","19941115","+,,0","-11.1",",0,27,","25",",,0,28,","91",",,0,28,","52.3",",,0,02,","17.2",",0,15,+","","","","","","","","","","","","","","","430.0",",0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","158.9",",,,0","96",",,,0","4.00",",0","9.35",",,,0","-1.36",",,,0"
"USC00177238","1994-12","45.08533","-67.1205","35.1","ROBBINSTON, ME US","","","0.0",",0","13",",0","6",",0","1",",0","14",",0","2",",0","0",",0","29",",0","15",",0","0",",0","0",",0","3","","19941213",",,0","19941221","+,,0","19941211",",,0","","","19941205",",,0","19941222",",,0","-16.7",",0,13,","76",",,0,21,+","89",",,0,11,","37.3",",,0,05,","11.1",",0,22,","","","","","","","","","","","","","","","651.3",",0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","94.1",",,,0","169",",,,0","-2.68",",0","1.68",",,,0","-7.03",",,,0"
"USC00177238","1995-01","45.08533","-67.1205","35.1","ROBBINSTON, ME US","0.0","0","0.0",",0","17",",0","8",",0","2",",0","25",",0","4",",0","4",",0","28",",0","18",",0","0",",0","0",",0","14","","19950111",",,0","19950112","+,,0","19950102",",,0","","","19950107",",,0","19950116","+,,0","-25.6",",0,11,","254",",,0,12,+","198",",,0,02,","39.4",",,0,07,","11.7",",0,16,+","","","","","","","","","","","","","","","722.1",",0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","137.4",",,,0","564",",,,0","-4.96",",0","-1.24",",,,0","-8.69",",,,0"
"USC00177238","1995-02","45.08533","-67.1205","35.1","ROBBINSTON, ME US","0.0","0","0.0",",0","13",",0","8",",0","0",",0","28",",0","6",",0","12",",0","28",",0","17",",0","0",",0","0",",0","4","","19950207",",,0","19950228",",,0","19950204",",,0","","","19950204",",,0","19950219",",,0","-27.8",",0,07,","483",",,0,28,","183",",,0,04,","24.6",",,0,04,","6.7",",0,19,","","","","","","","","","","","","","","","738.8",",0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","94.2",",,,0","678",",,,0","-8.05",",0","-1.65",",,,0","-14.46",",,,0"
"USC00177238","1995-03","45.08533","-67.1205","35.1","ROBBINSTON, ME US","0.0","0","0.0",",0","12",",0","6",",0","1",",0","29",",0","2",",0","1",",0","29",",0","7",",0","0",",0","0",",0","9","","19950304",",,0","19950302","+,,0","19950331",",,0","","","19950309",",,0","19950321",",,0","-19.4",",0,04,","457",",,0,02,+","107",",,0,31,","26.7",",,0,09,","13.3",",0,21,","","","","","","","","","","","","","","","591.1",",0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","72.7",",,,0","179",",,,0","-0.74",",0","3.98",",,,0","-5.45",",,,0"
"USC00177238","1995-04","45.08533","-67.1205","35.1","ROBBINSTON, ME US","0.0","0","0.0","1,0","16",",0","10",",0","0",",0","6",",0","2",",0","0","1,0","22","1,0","1",",0","0",",0","0",",0","8","","19950405",",1,0","19950405","+,,0","19950429",",,0","","","19950413",",,0","19950427",",,0","-13.3","1,0,05,","51",",,0,05,+","66",",,0,29,","15.7",",,0,13,","16.1",",0,27,","","","","","","","","","","","","","","","436.7",",0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","86.6",",,,0","137",",,,0","3.25","1,0","8.33",",,,0","-1.83","1,,,0"
"USC00177238","1995-05","45.08533","-67.1205","35.1","ROBBINSTON, ME US","0.0","0","0.0",",0","14",",0","10",",0","0",",0","0",",0","0",",0","0",",0","6",",0","0",",0","2",",0","0",",0","12","","19950504","+,,0","19950507",",,0","19950507",",,0","","","19950518",",,0","19950523",",,0","-1.7",",0,04,+","0",",T,0,07,","15",",,0,07,","10.9",",,0,18,","23.3",",0,23,","","","","","","","","","","","","","","","281.0",",0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","75.9",",,,0","15",",,,0","9.27",",0","14.96",",,,0","3.58",",,,0"
"USC00177238","1995-06","45.08533","-67.1205","35.1","ROBBINSTON, ME US","15.8","0","15.8",",0","11",",0","7",",0","1",",0","0",",0","0",",0","0",",0","0",",0","0",",0","17",",0","1",",0","9","","19950621",",,0","19950630","+,,0","19950630","+,,0","1","","19950615",",,0","19950619",",,0","5.0",",0,21,","0",",,0,30,+","0",",,0,30,+","35.1",",,0,15,","34.4",",0,19,","","","","","","","","","","","","","","","89.2",",0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","91.7",",,,0","0",",,,0","15.89",",0","22.55",",,,0","9.22",",,,0"
"USC00177238","1995-07","45.08533","-67.1205","35.1","ROBBINSTON, ME US","53.2","0","37.4",",0","9",",0","7",",0","1",",0","0",",0","0",",0","0",",0","0",",0","0",",0","26",",0","0",",0","20","","19950705","+,,0","19950731","+,,0","19950731","+,,0","5","","19950718",",,0","19950731",",,0","9.4",",0,05,+","0",",,0,31,+","0",",,0,31,+","46.2",",,0,18,","30.6",",0,31,","24.0","0","","","","","","","","","","","","","24.0",",0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","79.4",",,,0","0",",,,0","18.77",",0","24.72",",,,0","12.82",",,,0"
"USC00177238","1995-08","45.08533","-67.1205","35.1","ROBBINSTON, ME US","89.7","0","36.5",",0","3",",0","2",",0","1",",0","0",",0","0",",0","0",",0","0",",0","0",",0","27",",0","3",",0","3","","19950829",",,0","19950831","+,,0","19950831","+,,0","2","","19950804",",,0","19950801",",,0","5.6",",0,29,","0",",,0,31,+","0",",,0,31,+","34.0",",,0,04,","35.0",",0,01,","64.9","0","","","","","","","","","","","","","40.9",",0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","41.4",",,,0","0",",,,0","18.19",",0","24.79",",,,0","11.59",",,,0"
"USC00177238","1995-09","45.08533","-67.1205","35.1","ROBBINSTON, ME US","90.0","0","0.3",",0","11",",0","7",",0","0",",0","0",",0","0",",0","0",",0","3",",0","0",",0","9",",0","0",",0","2","","19950930","+,,0","19950930","+,,0","19950930","+,,0","2","","19950917",",,0","19950905",",,0","-0.6",",0,30,+","0",",,0,30,+","0",",,0,30,+","23.6",",,0,17,","27.2",",0,05,","254.4","0","","","","","","","","","","","","","189.5",",0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","55.3",",,,0","0",",,,0","12.03",",0","18.76",",,,0","5.30",",,,0"
"USC00177238","1995-10","45.08533","-67.1205","35.1","ROBBINSTON, ME US","90.0","0","0.0",",0","12",",0","9",",0","2",",0","0",",0","0",",0","0",",0","5",",0","0",",0","0",",0","0",",0","12","","19951031",",,0","19951031","+,,0","19951030",",,0","2","","19951028",",,0","19951012","+,,0","-2.8",",0,31,","0",",,0,31,+","0",",T,0,30,","48.8",",,0,28,","20.6",",0,12,+","509.2","0","","","","","","","","","","","","","254.8",",0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","157.1",",,,0","0",",T,,0","10.11",",0","14.74",",,,0","5.49",",,,0"
"USC00177238","1995-11","45.08533","-67.1205","35.1","ROBBINSTON, ME US","90.0","0","0.0","1,0","15",",0","11",",0","2",",0","1",",0","0",",0","0",",0","26",",0","4","1,0","0","1,0","0","1,0","6","","19951130",",,0","19951110",",,0","19951110",",,0","","","19951115",",,0","19951112",",1,0","-12.2",",0,30,","25",",,0,10,","18",",,0,10,","62.5",",,0,15,","16.1","1,0,12,","1000.5","0","","","","","","","","","","","","","491.3","1,0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","207.6",",,,0","28",",,,0","1.35","1,0","5.44","1,,,0","-2.74",",,,0"
